region,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Maharashtra,353992.0,383975.6,501803.9,586529.3,668367.1,896853.8,1006590.1,1070166.0,861850.8,1046912.4,1036311.9,1050827.1,1189126.4,1240193.0,14368582,15770422,19213013,21476750,26109467,29309909,35473725,41237802,49723272,48716663,49798019,53072745,50280256,53725099,62437597,62312362
Manipur,148.8,176.4,247.0,168.5,173.1,1186.5,1274.3,1835.6,116.4,69.7,74.1,88.9,78.4,80.4,1344,1364,1597,2006,2365,6992,14105,12583,13946,16857,17943,19671,20218,22625,22511,21645
Meghalaya,2634.3,3164.8,3326.7,280.1,194.7,3146.5,1940.2,2844.8,258.4,319.2,491.2,884.8,1293.2,1567.4,21719,42444,61007,83251,88570,186725,316856,342123,427749,442803,431206,400194,480468,495077,491441,478469
Nagaland,341.9,425.1,993.2,464.6,520.7,2885.5,3973.0,2350.1,610.8,528.4,502.1,491.1,523.9,644.9,6454,7314,7357,6953,6107,33518,23393,22093,26665,27736,30996,32584,33164,32133,31530,25893
Odisha,62094.9,82287.1,99934.1,112987.3,151546.3,181128.1,228969.1,189048.6,141580.5,124897.9,148089.1,145686.7,137615.4,196318.1,1992411,2867646,3587108,5221774,6680966,10562767,14174832,18345421,19046035,24112454,26495184,30583649,36978340,37714048,34939188,36082035
Puducherry,3577.8,4639.6,5647.6,8466.2,10743.6,16293.8,13361.1,17996.7,19541.7,21386.0,24357.4,26230.3,30643.6,33849.5,315053,392329,461465,537869,538248,508746,572727,686875,844952,766764,786985,759575,737296,785802,970187,977631
Punjab,81326.2,104904.0,119344.8,134672.7,151523.6,187786.4,202079.8,212317.7,140461.2,178434.0,150081.0,149812.5,185993.8,166045.2,1925187,2373166,3232458,3998676,4612258,4842949,6396735,6784497,7061849,7678829,8348779,8146684,7823137,8660706,9075728,9744089
Rajasthan,68975.1,69577.0,99764.4,86893.5,143012.7,159932.7,174274.3,196651.6,158397.8,246788.6,185530.6,189414.0,183942.5,195489.4,2119235,2390995,2841166,3430271,4663623,5484771,7341468,7911885,8835247,10287816,10823851,11879141,14013500,15286579,16707954,17774383
Sikkim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128917,164922,172856,234076,270635,272474,433619,868943,890869,972075,970232
Tamil Nadu,177004.6,202760.4,244727.3,334488.2,400046.3,455778.8,491209.3,499496.1,498248.6,542434.0,557851.9,521178.0,622785.9,683300.1,7702555,9376713,11543590,12952311,14699277,19751934,23256442,25967952,29226006,38053367,32916814,35001784,40255907,40448082,42233024,44976835
Telangana,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9092956,9071450,8759792,10942123,10774282,12123370,14562863,14302114
Tripura,837.1,715.5,524.9,732.1,993.8,712.4,869.2,2866.3,1718.6,505.9,756.6,762.0,975.4,1180.5,14886,27793,44384,46419,56325,83567,60626,50770,51468,44251,49917,64121,69609,76863,77676,81688
Uttar Pradesh,209525.1,254770.2,298029.2,334601.1,415735.0,455387.4,535979.0,717987.1,645733.3,508570.9,490100.0,442385.8,439980.6,476144.0,5160776,5941232,7048591,9195910,9423178,10820496,12346903,14711869,16587389,16944630,17527318,19459927,20813332,21692859,23196050,24756617
Uttarakhand,.,.,.,.,.,.,.,.,25118.3,21879.6,35455.4,36941.1,37227.6,41697.4,529600,728706,1340560,1867732,3469272,4542012,5257320,7144048,7447010,7632858,7212165,7750277,8123750,8054019,8060581,8336981
West Bengal,125176.7,159917.5,209034.3,254304.4,280488.9,308754.9,342473.0,345752.6,172152.4,246012.0,252209.7,327529.8,331969.4,331305.0,3621044,4002439,4380614,5080180,6196315,8496908,9329431,10925703,12295536,12389882,13213659,13324702,15946367,16923715,17891930,19728930
