region,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Karnataka,48435.1,47915.6,67617.5,74147.9,100796.3,125754.7,160971.3,248449.6,364995.0,270603.1,263306.3,316102.4,330727.3,354289.8,3836252,4368896,4975429,5996709,8669455,9638244,10868616,13192146,14515109,16731050,16902324,17373585,18122114,19018695,20712231,22492822
Kerala,26610.6,31117.7,35182.4,38389.9,43059.7,63899.9,50584.4,82919.0,60315.9,63125.6,68268.8,72996.4,67948.2,69295.3,739885,769483,855082,914336,1189335,1255199,1526329,1546086,1870369,2342965,2934983,3844288,4548354,4346595,4795992,5621182
Madhya Pradesh,103239.3,99501.3,151747.8,161394.9,208187.4,251359.8,241400.2,214451.9,175159.2,167305.4,140836.1,133301.0,138978.5,138535.6,1746384,1900597,2128561,2441823,2820091,3040541,4635392,4990615,13657975,8608707,9729658,13728531,14932012,15416401,15604439,18741641
Maharashtra,221615.4,246857.1,319388.2,389519.7,434085.5,584484.8,709233.3,762814.1,568372.8,704123.2,675315.1,689750.3,769708.9,834722.9,9616976,10197038,12149123,13729202,17901787,19727392,23261161,26096562,34492959,32636160,33714366,34617490,33798216,35844136,42383056,42320376
Manipur,126.0,125.2,201.8,136.7,127.7,1136.7,1213.2,1502.7,76.0,37.7,47.7,60.3,52.0,57.9,876,847,970,1141,1367,3411,5101,5826,7561,9793,11374,12754,15327,15929,15082,14553
Meghalaya,2450.6,2971.1,3138.0,222.7,163.8,2872.6,1314.1,2725.1,188.0,227.7,359.6,613.2,957.8,1069.1,14666,32133,45788,61033,60715,149539,264046,281066,349006,362758,350312,297349,377159,361974,362247,358224
Nagaland,245.4,264.9,841.1,307.5,336.6,2585.0,3602.1,1346.8,207.5,221.4,200.4,173.2,212.7,276.8,2740,2898,2833,2792,2047,24107,13067,12731,17412,17872,20029,21569,21422,20764,20221,17982
Odisha,47447.7,61409.4,75656.4,87741.7,123993.2,148455.5,194232.9,152387.3,108931.7,95655.0,114693.8,117886.2,106130.7,161151.3,1604281,2361133,2957210,4337008,5468284,9272234,12166281,16080526,16377525,21086599,22947886,26957833,33800626,33907302,30927574,31867015
Puducherry,2038.0,2599.6,3259.3,5760.8,7027.0,12703.6,8930.5,11269.9,13065.3,13660.7,16015.8,17876.3,19832.1,23005.7,196986,236638,244916,300989,317107,294558,274310,390970,507747,440126,503697,471451,479119,447633,541476,642177
Punjab,56673.3,78047.9,87186.4,98194.3,107724.4,135708.1,148944.7,157768.7,84251.3,100759.5,84931.2,84187.5,111976.1,92564.2,1071349,1392579,1836524,2178348,2648036,2610606,3390757,3734551,3906929,3935562,4114017,4387855,4128112,4725230,4990543,5624889
Rajasthan,50987.1,48871.6,76066.6,61125.9,112014.7,123121.9,134693.4,150683.1,114308.0,199447.3,136730.0,142139.5,135502.8,140117.7,1476796,1624464,1908983,2258736,3469297,3893226,5051634,5301625,6142162,7149502,7654382,8465004,10080805,10937405,12270956,13067726
Sikkim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90825,110841,113924,144075,173938,176248,333077,710069,705218,743555,734106
Tamil Nadu,113852.6,128503.2,155446.8,198427.6,277587.0,303958.3,339821.8,348215.9,352945.0,375051.7,374302.9,358961.7,434789.3,464212.2,5101608,6034229,7506812,7933659,9778762,13289599,14796543,16145171,18724233,27081648,22131634,23796264,28244128,27754189,28276628,30725218
Telangana,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5847297,5694436,5739296,7694317,6931972,8101026,9955058,9690004
Tripura,729.3,613.5,397.5,632.3,848.7,532.5,643.5,2614.1,1496.2,263.8,394.6,380.7,488.1,496.6,6064,12186,22208,24494,41808,66440,39036,35095,33927,27221,32428,44294,46357,45161,45781,49991
Uttar Pradesh,146909.7,183943.3,212022.4,236365.6,310276.8,328414.0,396313.5,443616.3,514215.7,377253.0,347751.3,302141.0,284763.1,299260.5,3152999,3763086,4499515,5845002,6267696,6869662,7485582,9064742,10271141,10243627,10896835,12692774,13270699,13845026,14392066,15294771
Uttarakhand,.,.,.,.,.,.,.,.,15916.8,13586.0,18839.5,19658.4,20458.6,21817.6,287679,419984,949313,1297142,2189841,3265713,3614107,5066863,5299803,5479327,5104228,5553203,5870612,5842010,5605314,5841571
West Bengal,84898.8,115283.5,157279.8,197503.1,215329.5,233645.7,262852.0,261877.1,104755.5,174073.8,172530.4,249124.5,245880.6,240903.8,2456223,2650026,2773464,3233151,4137348,5967266,5932796,7169937,8206693,8094660,8626799,9168552,11383728,11743291,12418268,13300889
