region,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-8,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Haryana,1363643,1633925,1734330,2213130,2624477,2978893,3564238,3864907,4364599,5137490,5818335,6550523,7252791,8286176,9579512,10888457,12873234,15159590,18252215,22360025,26062128,29753852,34703201,39926812,43714471,49550411,56142417,63883208,69818888,76204360,75850653,89567125
Himachal Pradesh,281519,331697,382425,478268,582503,669828,775527,883731,1069623,1411247,1566118,1714818,1890472,2072100,2407658,2712735,3027427,3396254,4148310,4818859,5745226,7271983,8281979,9476416,10377232,11423941,12563364,13855109,14838327,15916170,15667506,17517331
Jammu and Kashmir,-,-,-,634268,697668,809679,912434,1028574,1141526,1565981,1669953,1803935,2032591,2219443,2730462,2991985,3323011,3709863,4231484,4838451,5807257,7825555,8713773,9561874,9836675,11716795,12484800,13970886,15985945,NA,NA,NA
Jharkhand,-,-,-,1619442,1808726,1974949,2119103,2771579,3055099,3432308,3209254,3506873,3796735,4244922,5975772,6090054,6693475,8394959,8779393,10062068,12728105,15091759,17472369,18856671,21852517,20661280,23624972,26981614,30569520,31030536,30071593,34317818
Karnataka,2330040,3009173,3303585,4107905,4791516,5621456,6517572,7304576,8784091,10124745,10836170,11284650,12088876,13098974,16674713,19590407,22723706,27062879,31031233,33755850,41070316,60600981,69541305,81666615,91392303,104516810,120760772,133324000,147649628,161545653,173099141,204937896
Kerala,1409810,1752967,1993723,2632602,3187663,3876232,4445990,4948447,5620368,6916847,7265883,7792375,8689476,9669803,11926400,13684176,15378488,17514108,20278279,23199867,26377330,36404788,41231300,46504121,51256405,56199361,63488640,70158826,78828558,82437420,79957111,90199783
Madhya Pradesh,3047198,3260858,3658252,3797098,4233857,4784066,5504914,6006161,6921596,8013210,7920335,8674496,8683192,10283864,11292689,12427599,14457681,16147939,19727620,22755664,26339573,31556159,38092480,43948344,47993904,54106751,64982281,72628392,83102388,93860213,97628148,116900388
Maharashtra,6443326,7340611,9092146,11331964,13007332,15781814,17931078,19516815,20969865,24783022,25228283,27318782,29947870,34060005,41547969,48676562,58449766,68481658,75396915,85575051,104915008,128036944,145962863,164964663,177913793,196622458,219818515,235278150,256789706,273455153,271168512,NA
Manipur,82059,98577,109290,130809,140498,162706,189843,215788,243019,326016,311170,336922,350630,397924,513336,571758,613722,678253,739936,825426,913719,1291460,1374324,1618204,1812905,1953067,2129389,2578923,2738807,3129702,3411021,NA
Meghalaya,88951,103683,115204,151087,166494,199519,219825,249735,293928,357814,396094,447826,476342,527999,655933,726515,862518,973473,1161704,1270911,1458256,1991775,2187202,2293824,2323453,2511736,2743862,2950830,3217582,3477040,3471870,3783011
Mizoram,34084,46511,53276,71146,73877,93654,107234,112317,124590,155006,173742,194653,216579,232498,268197,297115,328998,381551,457711,525985,638788,725869,836193,1029337,1350940,1513886,1719191,1938533,2191208,2112848,1802616,NA
Nagaland,65507,78593,91773,137463,159598,181376,202410,232383,238523,280227,339930,397246,446676,481234,583884,658768,725665,807495,943607,1052677,1175937,1217676,1412127,1661173,1840067,1952395,2172245,2439296,2652742,2971587,3042511,NA
Odisha,1090375,1401249,1513752,1853666,2222398,2711762,2650441,3223496,3558137,4298608,4335095,4675574,4971261,6100793,7772943,8509649,10183947,12927445,14849071,16294643,19752990,23098708,26169960,29647538,31424995,32854950,39280367,44039532,49861126,53243203,53265168,64208668
Puducherry,60260,67216,74793,98127,112702,132046,190658,262494,298202,323483,386368,425882,493087,543817,575371,797723,833511,925143,1005005,1230437,1309160,1681801,1887545,2187012,2257396,2661654,2957266,3212880,3638562,3672384,3568471,3748487
Punjab,1888259,2284185,2627464,3024814,3421762,3861486,4419768,4870419,5573569,6716197,7467745,7961070,8224920,9008860,9683851,10863668,12712291,15224532,17403913,19749981,22620407,26662827,29773382,33214694,35510182,39008744,42698810,47101361,51250969,53703105,53255526,58404225
Rajasthan,2071007,2301161,2704693,3296970,4148719,4731348,5751643,6406090,7317964,8271971,8243491,9177088,8855005,11160645,12774565,14223614,17104273,19482214,23094932,26582485,33834843,43483664,49355124,55103102,61564156,68148226,76058727,83252923,91167414,99905036,101332301,119613711
Sikkim,23394,25946,26714,40270,44034,52039,59246,67996,78708,89580,101369,113604,127591,142972,173915,199290,216122,250609,322908,613276,741157,1116510,1233842,1386190,1540672,1803394,2068719,2597082,2840243,3144100,3180007,3682497
Tamil Nadu,3133938,3695674,4300987,5754902,6866579,7820534,8923735,10355034,11820918,13418520,14679594,14886118,15815525,17537080,21900322,25783345,31052573,35081864,40133605,47973342,58489626,75148576,85482535,96853045,107267797,117650003,130263858,146505091,163020915,174314396,180823943,206543628
Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8994628,10833479,12697070,15245199,18938194,20350833,26389774,35943411,40159361,45158040,50584879,57790206,65832534,75005028,85742715,95028676,96180037,114811470
Tripura,103098,116535,123133,177723,188083,229562,275682,329834,381418,486673,549919,637007,673325,755059,890353,982602,1091423,1179707,1357264,1540270,1786773,1920841,2166320,2559283,2953346,3593773,3947940,4371580,4982332,5415112,5441512,6477808
Uttar Pradesh,5550571,6467723,7070435,8045109,9401912,10624946,12777800,13756073,15385284,17515935,18151221,19026890,20685547,22697248,26084066,29317167,33631679,38302552,44468486,52339418,60028572,72405044,82239292,94035644,101178966,113780794,128870023,143992550,158218005,170027274,164856708,186322112
Uttarakhand,-,-,-,568556,691419,752905,824163,898444,994640,1262090,1450109,1582577,1847320,2043878,2478567,2996753,3679542,4585567,5602476,7073005,8396911,11532757,13161284,14907439,16143892,17716302,19512484,22022213,23032741,23698791,23466020,25383197
West Bengal,3479710,4038037,4329039,5342414,6203158,7386461,8207541,9796640,11551602,13537610,14372487,15714428,16800000,18925851,20865636,23024495,26168187,29948275,34194248,39888038,46095894,52048505,59146445,67684806,71808166,79729980,87252723,97469978,110228275,120782261,130101677,NA
