region,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rio Grande do Norte,9525.31870903091,228110.00236959,1301409.73066021,12647956.8151692,301000.101153719,2613.30682555365,4727.27817489528,5876.00010748104,6669.22512474226,6844.46658896126,7647.7808987756,9293.31927956272,9833.65025335881,13566.8033847864,14865.4414930342,17252.3984221393,19966.9180713848,22890.1237034437,26318.2585193418,28898.8604908544,30941.053634319,36184.502367157,40992.9249193226,46412.2083531377,51518.4565553703,54022.5839150426,57250.8668319651,59677.3888508444,64305.9950551742,66969.562001785,71336.7801700609,71577.1068125792
Paraíba,8798.78132108737,268458.150852926,1402067.850348,13075224.8544159,293972.084298705,2835.8259988494,5324.20819904086,6549.14819784525,6989.28618491817,7261.82650958437,7936.64941371064,9237.7367608246,10271.9299743704,12747.02118865,14737.9195185617,15757.8315477527,17557.2263235894,20838.0163565212,22909.81146075,26889.5730729033,30230.4061065281,33522.4916933505,37109.1366710598,42488.3492005302,46377.2992816343,52936.4830690079,56141.8902609817,59104.7813927344,62396.7755248789,64373.5953757076,67986.0735470624,70292.0341082738
Pernambuco,31916.7753578725,844507.202107831,4790975.25874109,46998433.4805617,999734.226872914,9038.81166635009,17460.7906015421,21391.1386325943,23439.3488910869,24810.2468394191,26021.4830056365,29126.7956167441,31724.9615241528,36056.0316291688,38815.8452910389,44982.6841085905,50240.3251999575,55485.2930151112,62459.3250019973,70413.9385405121,79760.9580651116,97189.7604743827,110161.558963898,127989.043341589,141150.251801929,155142.647932342,156963.667544375,167345.031245445,181609.500842172,186351.975249361,197853.378468254,193307.317291223
Alagoas,7297.8816280662,224406.232244555,1179475.11881534,12734850.3167061,257026.989228167,2386.30127218454,4036.62236519299,5072.15740029219,5756.05674916881,6141.03756192277,6429.09502291004,7022.92284723696,7569.18760931955,11536.8528890711,12624.0302169279,14044.9074670242,15484.5214478801,17395.670947745,19871.2659067188,22262.2945980159,24182.3875158061,27133.0378519882,31657.3207327516,34650.3974670185,37282.5291223351,40974.9940146531,46367.2106016848,49468.7409086632,52851.0669359453,54413.0466624019,58963.728728402,63202.3489263047
Sergipe,6853.83724525863,182595.574242681,1059661.88519981,11155903.8353789,254462.217443487,2042.04004092351,3532.53192060889,4303.6107090138,4842.56083515253,5030.50246589145,5434.37524059352,5920.7251230089,8204.01784421098,10332.4939106202,11749.573694776,13336.2579969247,14430.118491822,16419.7978465994,18218.4496488088,21418.3779930412,21707.2432312474,26404.8932259679,29108.2718558908,32853.1808036978,35335.9860742887,37472.43150204,38556.5304613675,38877.4384832685,40711.4861630632,42017.981277964,44689.4828809802,45409.6565692204
Bahia,57060.5496516189,1427202.7690962,7294188.7439571,77313805.8888605,1680577.57420179,14972.4647441012,26769.0715166821,32989.5030403491,37020.9111246303,38759.0969057019,42040.1086370204,48197.1737766837,52249.3203504881,58842.9759429156,67174.2268641486,77931.724709255,88291.8826303411,95347.8019341811,109329.527530478,121667.454630879,137942.480638971,154419.547376565,166602.816896058,182572.530055718,204844.273542355,223929.966168001,245043.689653563,258738.970261213,268724.090227016,286239.541111116,293240.503584511,305320.81268712
Minas Gerais,120953.398745747,2951847.58246646,15784061.2394141,168210911.838272,3655345.02738345,34750.8012868381,62971.0076556758,78604.4737147271,87196.507386116,89490.1415457029,93748.3701415796,106168.725154846,113529.800021037,124071.066400855,144189.093826494,171870.933848999,188364.435565839,212659.547198965,240355.238651813,278607.619373057,287443.848063854,351123.417752949,400124.687036116,442282.829867962,488004.903017172,516633.984100851,519331.213148633,544810.468392304,576375.544682757,614875.819795846,651872.684367473,682786.116406679
Espírito Santo,21476.3601348595,526663.83194034,2746222.30691434,29708065.2921351,639248.00475448,6369.39849302346,12857.798772331,14908.9359297614,16198.2529145983,17369.2068982948,18772.1466443911,21530.2472672129,22538.1188055206,27048.996550799,31519.1057817974,39732.6384024237,47020.5876042462,53463.8684537073,60658.3949718418,72091.1580968514,69215.3607308342,85310.2845445635,105976.22218328,116850.580542292,117274.346940881,128783.781146906,120365.979917946,109264.42309478,113399.936791536,137020.054873887,137345.595434056,138445.922362018
Rio de Janeiro,130333.477019679,3448346.14771719,20353130.8968372,212808649.454835,4563327.94001709,39611.1471921446,74412.3603272778,86757.6505695194,97673.8098288597,100651.379757297,114419.456711208,137876.530792111,148033.351611383,184310.915239914,202640.788573735,241206.738199909,269830.061003176,299738.183007467,323698.285515451,378285.800318053,391650.854276543,449858.101106874,512767.904774588,574884.973125997,628226.069365245,671076.844309404,659138.951835162,640401.206452361,671605.668053869,758859.046864806,779927.91708575,753823.71063485
São Paulo,477169.927216848,11756930.4916432,58441627.7647628,625519612.450295,13521544.1443567,119252.798570276,229196.865164326,272034.909132443,308892.569846817,324152.475741304,340281.480417501,370818.992144383,400629.082598981,518878.815171893,591454.031626097,652955.557508538,743042.944438881,824529.299058109,935653.179993149,1042510.16793827,1127093.826119,1294695.98844933,1436672.70902225,1559033.44369146,1715238.41656425,1858196.05550251,1939901.90712746,2038757.38163838,2120761.63511155,2210561.9494777,2348338.00029016,2377638.97984522
Paraná,79205.2962189496,2015172.40376502,9739183.26549584,103319791.302091,2294761.89011719,21303.8357102922,38368.5902348736,47719.7833876722,52848.9510328211,56798.2504013654,61723.9585054393,65968.7132676467,72770.3502067989,88235.7149786613,110039.414399189,123451.529535954,127464.507459826,137648.310669706,165208.890962808,185683.85866763,196675.611943638,225205.254706967,257122.268529973,285620.201618322,333481.152158013,348084.190841654,376962.82163588,401814.164416152,421497.870222343,440029.402861897,466377.036432742,487930.593783217
Santa Catarina,52951.5234875188,1185822.31967364,5791454.77537903,68157533.1184931,1378213.61669735,12780.1543340065,23572.6059221129,29453.7328221489,31874.6718806279,32434.0644689744,35681.8514676081,42428.0036891206,46534.518974466,54481.8932231994,64098.4746870603,73618.9659209255,81549.2436931909,91063.448617338,103728.09224599,121477.257850739,129098.535032557,153726.007385805,174068.321735757,191794.652142121,214512.241569714,242553.370861158,249079.642278968,256754.668529563,277270.236582962,298227.090043405,323263.85740477,349275.015531129
Rio Grande do Sul,103394.6371011,2583249.36295438,12834137.3029408,151153641.593204,3467222.60298211,31129.2344565928,53652.9468275955,63262.6772265623,69221.3139341322,70541.8894052516,75450.4582253611,85137.5425544165,94084.4984464092,98847.210893732,119325.398659763,131192.206296158,136362.768609614,147622.599258414,168009.752060173,190229.822441717,204344.940205053,241249.16390215,265056.416291246,287587.018680026,332292.7260754,357816.423826504,381992.601117899,408789.528052045,423270.047301931,457293.957587089,482464.177470653,470941.846049469
Mato Grosso do Sul,11814.1230172976,304805.411280851,1639191.42391153,16616510.1401658,375570.037528669,3847.51481506669,6994.11109988909,8317.29305416578,9292.06857286524,10049.5017023402,10901.030127985,11861.1684187859,13736.0545697134,16440.4239241781,21846.5663351767,23372.3081856392,23725.2583612079,26667.8938131067,30084.7651984652,36219.2630380221,39517.7417411831,47270.6563956289,55133.1624506498,62013.2008852622,69203.2012638624,78950.1327027253,83082.5547103321,91892.2851614114,96396.4337558724,106969.141695281,106943.246414013,122627.726079784
Mato Grosso,10627.5549096604,265130.892863258,1514300.02760509,16799362.3224075,412465.10644,3860.94563272308,6510.21339088828,7945.76768100386,9155.03483554474,9901.39611630668,11701.2497345435,13428.2894918684,14452.6777648168,19190.6525311312,26697.096880857,33388.6701629114,34257.0546259744,30700.1645704593,38027.5784171386,49202.5052485561,52693.416788181,56600.9553753299,69153.9567411926,79665.6911440019,89212.9185856108,101234.520270108,107418.318630026,123880.295555452,126845.897791227,137442.852833962,142122.027963763,178649.563702015
Goiás,18363.9491587785,556628.675217174,3123721.14821579,30799711.0431618,707503.376401092,6810.24526425359,11875.3954399135,14592.1422842883,16025.4686069865,17428.1140605638,17919.8564374691,21665.3562684895,25048.2310545826,38629.3645823282,45557.8892091601,51103.8153506776,53865.1125626762,61375.4026503006,71410.5677217049,82417.5637982771,92865.7430860676,106770.109477841,121296.720838564,138757.825027557,151300.175111188,165015.31846571,173632.450237093,181759.603536774,191948.301048925,195681.723983006,208672.491708044,224126.112043798
Distrito Federal,19450.610162676,511639.56899443,3839101.52126416,35689533.4579357,749186.036262538,6778.0125494572,13231.1686008394,16539.18758061,19916.0640669306,25119.0602471749,22256.4234959124,29587.1372933939,33051.3705956865,53902.1997987657,58456.1243185118,67076.5052018932,75732.6812101616,84661.4055375247,93404.000765715,110299.557146028,124323.753082112,144174.101594779,154568.953954846,164101.336474617,175906.725532154,197432.058527304,215612.862838403,235540.044810666,244722.249337299,254817.204692397,273613.711476546,265847.3340027
