region,year,population,industry_production,export,price_indexes,unemployment,grp,investments,fixed_assets
Voronezh region ,2006,2353.8,112240.0,752.5,108.17999999999999,5.4,166176.5,38867.040021367015,469878
Voronezh region ,2007,2344.4,132807.0,962.5,118.04,5.2,222811.9,65319.2860180461,562523.0
Voronezh region ,2008,2339.0,169702.0,975.4000000000001,113.03999999999999,5.2,287072.1,94168.0,674657.0
Voronezh region ,2009,2334.9,169819.0,649.5999999999999,108.80000000000001,8.6,301729.1,94788.0,738634.0
Voronezh region ,2010,2334.8,220645.0,923.6999999999999,116.0,7.5,346568.2,125826.0,788059.0
Voronezh region ,2011,2331.5,273998.0,1261.2,101.64,6.4,474973.9,155245.0,1019463.0
Voronezh region ,2012,2330.4,302902.0,1690.8,106.03999999999999,5.5,563965.4,182334.0,1078383.0
Voronezh region ,2013,2328.9,322179.0,1591.4,105.53999999999999,4.7,611720.4,216983.0,1158136.0
Voronezh region ,2014,2331.1,373850,1542.4,111.4,4.5,717667.2,240272,1233526
Voronezh region ,2015,2333.5,461544,1356.5,111.19999999999999,4.5,805969.6,264660,1401937
Voronezh region ,2016,2335.4,483976.0,1145.5,103.7,4.5,827928.6,270992.135,1534644
Voronezh region ,2017,2333.8,529550.0,1322.8966332,99.28,4.3,873429.4,283652.262,1841669
Voronezh region ,2018,2327.8,569079.0,1576.8000000000002,107.18,3.7,951292.3,276785.343,2017212
Voronezh region ,2019,2324.2,640982.0,1226.5,98.1,3.6,1001790.3,298767.833,4042520
Voronezh region ,2020,2305.6,771635.0,1068.7,111.28,4.3,1063999.2,259172.458,4156859
Voronezh region ,2021,2287.7,899078.0,1508.9,111.58,3.8,1074875.59,285891.629,4196569
Ivanovo region ,2000,1179.0,14374.0,65.7,129.74,10.4,16900,2058.0,84587
Ivanovo region ,2001,1161.9,18727.0,73.5,114.14,5.9,22175.9,2470.043,92689
Ivanovo region ,2002,1144.5,21314.0,82.7,114.28,6.9,26981.3,3175.5851515422937,106561
Ivanovo region ,2003,1131.0,26897.0,100.5,120.34,6.5,33214.6,5120.985585551688,131905
Ivanovo region ,2004,1116.7,33533.0,109.2,109.66,4.7,40159.4,8996.959185936257,144334
Ivanovo region ,2005,1101.8,39213.0,124.2,106.96000000000001,6.9,44415.4,12068.0,146922
Ivanovo region ,2006,1089.8,48379.0,147.7,109.1,4.2,55090.0,14734.156833333112,160051
Ivanovo region ,2007,1081.1,58718.0,147.2,115.82,4.3,74752.0,17415.988828546542,207383.0
Ivanovo region ,2008,1074.3,71508.0,114.80000000000001,115.98,5.2,86980.3,26051.0,260005.0
Ivanovo region ,2009,1067.8,68058.0,87.3,108.97999999999999,10.8,87061.9,31956.0,300365.0
Ivanovo region ,2010,1060.1,95687.0,101.0,112.02000000000001,7.6,109884.5,29961.0,350925.0
Ivanovo region ,2011,1054.0,99556.0,123.0,111.8,6.6,128905.4,32373.0,564135.0
Ivanovo region ,2012,1049.0,108728.0,174.4,106.19999999999999,6.3,136115.0,28762.0,468173.0
Ivanovo region ,2013,1043.1,120203.0,178.60000000000002,105.9,5.2,158228.7,33938.0,483179.0
Ivanovo region ,2014,1036.9,118849,183.1,107.52000000000001,4.3,151876.8,33075,516607
Ivanovo region ,2015,1029.8,144210,138.10000000000002,110.32,5.6,180517.5,25713,536739
Ivanovo region ,2016,1023.2,150969.0,146.4,106.48,5.6,205818.6,23286.965,553289
Ivanovo region ,2017,1014.6,170378.0,164.13681759999997,103.74000000000001,4.7,212464.7,30314.901,550729
Ivanovo region ,2018,1004.2,189528.0,168.0,105.52,4.2,232493.6,29359.835,569118
Ivanovo region ,2019,997.1,194534.0,183.3,103.32,3.8,254968.9,37419.494,1143074
Ivanovo region ,2020,987.0,257144.0,182.60000000000002,106.16,5.4,271653.7,44387.879,1179149
Ivanovo region ,2021,976.9,263600.0,272.6,113.38000000000001,4.5,263274.376190476,44981.231,1220062
Kaluga region ,2000,1060.3,22148.0,84.8,128.68,8.8,23903.3,5293.0,110400
Kaluga region ,2001,1049.6,29955.0,69.2,113.89999999999999,6.1,31860,6355.591,115358
Kaluga region ,2002,1038.6,35043.0,68.3,122.17999999999999,6.6,37283.1,7450.705342769039,131045
Kaluga region ,2003,1031.7,43760.0,128.3,115.02,6.1,48792.7,9353.257686661573,179030
Kaluga region ,2004,1027.6,54086.0,152.3,111.12,6.3,57993.8,10479.106830152903,187474
Kaluga region ,2005,1023.3,68635.0,167.8,110.84,5.6,70953.9,13624.0,202519
Kaluga region ,2006,1020.2,78221.0,206.1,108.84,5.6,86150.5,18297.4040794412,219137
Kaluga region ,2007,1017.7,100151.0,263.70000000000005,113.8,5.0,111869.0,35011.78476310463,281488.0
Kaluga region ,2008,1015.6,162906.0,266.3,114.72,4.6,150394.4,66270.0,323872.0
Kaluga region ,2009,1015.0,170305.0,219.3,108.1,6.1,154946.1,60349.0,383147.0
Kaluga region ,2010,1009.2,296149.0,370.8,107.9,6.7,188601.3,74489.0,449711.0
Kaluga region ,2011,1008.2,372806.0,435.6,105.89999999999999,5.6,234749.0,77354.0,513811.0
Kaluga region ,2012,1005.6,438792.0,739.2,104.89999999999999,4.3,285256.6,95970.0,559089.0
Kaluga region ,2013,1004.6,450094.0,701.0,105.08,4.5,292841.0,98084.0,665178.0
Kaluga region ,2014,1010.5,478057,626.8,110.67999999999999,4.2,326459.5,99786,722223
Kaluga region ,2015,1009.8,482156,501.3,113.18,4.3,339760.8,92707,834822
Kaluga region ,2016,1014.6,541302.0,707.7,107.38,4.2,409462.3,84444.604,912722
Kaluga region ,2017,1012.2,708041.0,1330.9468846999998,102.44,4.0,457052.5,89030.44,989602
Kaluga region ,2018,1009.4,867953.0,1471.7,106.76,3.9,507632.2,91138.164,1096796
Kaluga region ,2019,1002.6,919954.0,1161.6,102.82000000000001,3.7,549755.8,110157.537,2297839
Kaluga region ,2020,1001.0,948869.0,1027.3,103.9,4.7,559166.5,112163.651,2397479
Kaluga region ,2021,1012.8,1131867.0,1513.3000000000002,112.68,4.0,547958.734285714,128508.077,2577442
Kostroma region ,2000,754.0,13305.0,69.8,128.77999999999997,8.8,16662.2,4636.0,90668
Kostroma region ,2001,743.9,16618.0,91.60000000000001,115.42,5.9,22221.5,4843.2570000000005,98339
Kostroma region ,2002,734.5,18282.0,82.8,117.08,5,25952.9,6222.0369691821425,118361
Kostroma region ,2003,723.1,22600.0,93.5,115.60000000000001,6.1,29692.1,5855.453543311294,159813
Kostroma region ,2004,712.0,29211.0,137.1,113.56,5.9,37787.4,12499.626974989984,176457
Kostroma region ,2005,699.8,38539.0,195.8,110.7,4.9,44684.7,14083.0,189028
Kostroma region ,2006,689.8,50292.4,208.1,110.66,4.9,54351.1,11820.897592915144,209665
Kostroma region ,2007,683.4,67549.0,248.79999999999998,119.94,3.3,65700.4,13918.581934757556,242020.0
Kostroma region ,2008,677.8,84500.0,226.1,110.12,4.9,81040.7,16848.0,263477.0
Kostroma region ,2009,672.9,71143.0,161.0,105.32,8.2,78920.7,11334.0,279921.0
Kostroma region ,2010,666.4,95089.0,174.2,113.72,6.0,98130.7,15100.0,295091.0
Kostroma region ,2011,661.8,111306.0,200.9,110.86,5.1,116629.8,17648.0,312406.0
Kostroma region ,2012,658.9,127323.0,282.1,105.03999999999999,4.8,130840.4,21169.0,323157.0
Kostroma region ,2013,656.4,133962.0,349.5,104.46000000000001,4.9,139015.9,22264.0,345022.0
Kostroma region ,2014,654.4,137926,363.70000000000005,105.18,4.3,146731.5,27512,360520
Kostroma region ,2015,651.5,142962,286.3,110.97999999999999,5.3,160579.8,27345,377650
Kostroma region ,2016,648.2,143351.0,286.4,107.6,5.5,170225.1,26429.603,419515
Kostroma region ,2017,643.3,161309.0,278.9227608,102.64,5.3,178485.6,21638.952,436507
Kostroma region ,2018,637.2,176380.0,339.1,106.88000000000001,4.5,191812.9,22313.48,452611
Kostroma region ,2019,633.4,190060.0,721.6,101.84,4.1,203821.4,26008.989,925743
Kostroma region ,2020,628.4,182894.0,3665.2999999999997,106.34,5.5,204382.3,28311.33,935304
Kostroma region ,2021,620.8,228221.0,5480.900000000001,116.9,4.4,218663.950952382,42742.559,978157
Kursk region ,2000,1266.4,26109.0,111.1,116.39999999999999,10.5,30167.7,5425.0,137988
Kursk region ,2001,1248.6,30779.0,96.0,120.25999999999999,10.5,36399.8,6646.22,148962
Kursk region ,2002,1231.1,36874.0,95.5,114.74,7.1,45309.4,10412.73326329788,206046
Kursk region ,2003,1213.4,50527.0,133.9,118.84,8.5,56383.1,10111.67567768492,249278
Kursk region ,2004,1195.8,68503.0,171.8,120.16000000000001,7.5,76506.1,15197.99207382714,246170
Kursk region ,2005,1177.6,79751.0,344.0,110.96000000000001,7.2,86624.9,17864.0,259718
Kursk region ,2006,1161.6,90491.0,349.70000000000005,119.26,7.2,104035.7,23241.14308383728,290680
Kursk region ,2007,1151.9,112996.0,617.7,116.74000000000001,4.9,128799.0,33523.14256994589,327734.0
Kursk region ,2008,1143.3,138669.0,868.4,112.75999999999999,6.3,167865.8,46752.0,360692.0
Kursk region ,2009,1135.0,131999.0,381.20000000000005,104.24000000000001,8.8,161570.9,41183.0,399626.0
Kursk region ,2010,1125.7,175424.0,671.4,122.46000000000001,8.2,193648.6,46093.0,435966.0
Kursk region ,2011,1121.6,203752.0,1266.4,102.68,6.3,228851.4,58521.0,494722.0
Kursk region ,2012,1119.3,204933.0,690.7,103.46000000000001,5.1,248213.1,66639.0,541986.0
Kursk region ,2013,1118.9,215050.0,696.0,107.58000000000001,4.6,271542.5,71546.0,607109.0
Kursk region ,2014,1117.4,222254,576.7,103.4,3.9,298287.3,73695,664050
Kursk region ,2015,1120.0,256056,396.3,115.4,4.2,336999.4,73745,705845
Kursk region ,2016,1122.9,275527.0,452.7,107.47999999999999,4.3,379011.3,93658.527,805024
Kursk region ,2017,1115.2,308774.0,622.0054223,101.08000000000001,4.1,404759.8,100895.137,878321
Kursk region ,2018,1107.0,353408.0,683.5,112.66,4.0,451000.5,120735.232,938417
Kursk region ,2019,1104.0,372313.0,793.0,93.24,4.0,495864.4,142668.886,1595064
Kursk region ,2020,1096.5,395546.0,834.0,114.62,4.9,535854.6,136892.817,1639398
Kursk region ,2021,1083.6,589472.0,1631.3,111.89999999999999,4.0,502409.278095238,193351.808,1832522
Lipetsk region ,2000,1228.1,61245.0,1053.6,121.9,8.7,48067.7,6265.0,139471
Lipetsk region ,2001,1220.5,67501.0,923.7,107.19999999999999,6.4,50574.1,8409.632,174366
Lipetsk region ,2002,1211.0,89287.0,1218.0,120.7,4.9,70590.5,10984.920567030053,208488
Lipetsk region ,2003,1205.3,121859.0,1650.1000000000001,123.84,4.5,96241.9,17199.826814417294,256852
Lipetsk region ,2004,1198.6,185748.0,3216.1,127.66,4.3,141778.3,26575.303452464854,279807
Lipetsk region ,2005,1193.9,198951.0,2795.1,104.60000000000001,8.2,145194.4,30312.0,330185
Lipetsk region ,2006,1190.4,235807.0,3065.1000000000004,109.03999999999999,4.9,179057.3,44565.02259545867,364208
Lipetsk region ,2007,1186.7,269904.0,3820.2999999999997,106.88,2.7,209821.5,64706.97322888445,453206.0
Lipetsk region ,2008,1182.0,338334.0,5257.099999999999,120.26,5.0,259532.2,88089.0,524693.0
Lipetsk region ,2009,1177.0,249499.0,2917.2999999999997,102.64,5.6,226662.0,84317.0,579269.0
Lipetsk region ,2010,1172.0,329381.0,3907.1,108.58000000000001,4.5,248544.9,101600.0,635096.0
Lipetsk region ,2011,1165.9,385828.0,4754.900000000001,106.85999999999999,4.9,287816.8,112531.0,717970.0
Lipetsk region ,2012,1162.2,414154.0,5112.700000000001,99.75999999999999,3.6,293301.3,93327.0,770538.0
Lipetsk region ,2013,1159.9,419669.0,4492.0,103.6,3.7,315685.4,101093.0,879524.0
Lipetsk region ,2014,1157.9,484678,4378.8,113.64,3.7,398464.5,105588,997633
Lipetsk region ,2015,1156.1,570812,3203.1,110.36,4.1,448994.3,116134,1066160
Lipetsk region ,2016,1156.2,606751.0,3036.5,111.14,4.0,501263.5,127890.871,1178985
Lipetsk region ,2017,1150.2,670076.0,4324.4987989,99.96000000000001,3.9,522266.2,142407.098,1268311
Lipetsk region ,2018,1144.1,801971.0,5530.200000000001,109.5,3.8,604396.2,128532.7,1354811
Lipetsk region ,2019,1139.4,726566.0,3766.5,96.0,3.7,570022.9,155038.156,2108045
Lipetsk region ,2020,1128.2,800438.0,3203.6,114.91999999999999,4.3,619216.6,171804.181,2144115
Lipetsk region ,2021,1113.7,1234182.0,6824.099999999999,119.84,4.2,620437.282380953,179400.0,2446218
Moscow region ,2000,6613.5,137537.0,2079.8,113.16,7.8,176693.6,50729.0,685595
Moscow region ,2001,6609.2,174789.0,1592.4,113.58,5.6,235159.6,52701.152,811641
Moscow region ,2002,6616.9,237912.0,1513.5,121.7,4.4,312950,71787.41,1007563
Moscow region ,2003,6671.3,310830.0,1814.4,114.7,4.4,412089.3,105176.11787771375,1282486
Moscow region ,2004,6736.7,420558.0,2977.2,116.08,3.8,535204.4,154969.21884116254,1431287
Moscow region ,2005,6783.8,618537.0,2091.3999999999996,109.68,3.2,708062.1,181260.0,1762773
Moscow region ,2006,6846.8,737124.0,2723.0,111.18,3.0,934328.9,236930.86290286956,2143837
Moscow region ,2007,6895.4,1022286.0,3721.5,114.86000000000001,2.0,1295649.9,401143.3149763034,2932730.0
Moscow region ,2008,6958.0,1218163.0,4616.1,112.76,2.7,1645753.0,481617.0,3459831.0
Moscow region ,2009,7024.2,1223390.0,2787.8,104.60000000000001,4.8,1519446.3,380061.0,3939219.0
Moscow region ,2010,7106.2,1491704.0,3192.8999999999996,111.48,3.3,1832867.3,394284.0,4442527.0
Moscow region ,2011,7198.7,1739355.0,3625.8,107.84,3.7,2176795.3,449666.0,5012245.0
Moscow region ,2012,7048.1,1799215.0,5574.0,99.84,2.9,2357081.9,516872.0,5109551.0
Moscow region ,2013,7133.6,1880900.0,6815.5,105.42,2.8,2545951.5,587645.0,5538512.0
Moscow region ,2014,7231.1,2036721,5742.3,110.34,2.7,2742886.1,644830,6072686
Moscow region ,2015,7318.6,2370049,4886.5,112.64,3.3,3180924.6,623918,6635124
Moscow region ,2016,7423.5,2420321.0,4761.1,106.2,3.3,4206506.0,621176.101,7237874
Moscow region ,2017,7503.4,2693256.0,6579.9712158,100.32,3.2,4290261.2,699918.477,8044098
Moscow region ,2018,7599.7,2995367.0,7095.200000000001,105.3,2.7,4644635.0,945424.1,8981281
Moscow region ,2019,7690.9,3403149.0,7859.1,101.52,2.7,5196136.4,1090731.562,23768046
Moscow region ,2020,7708.5,3869951.0,6840.8,104.22,3.6,5265389.3,1077672.088,27739726
Moscow region ,2021,7768.9,4458700.0,11413.400000000001,109.32,3.4,5126327.61428571,1144659.889,29955255
Oryol Region ,2000,876.7,13805.0,83.30000000000001,118.94,8.6,22160.8,4881.0,71243
Oryol Region ,2001,867.6,16327.0,131.2,114.0,7.9,27624.8,5140.880999999999,82571
Oryol Region ,2002,858.3,19836.0,216.4,116.66,6.7,35657.4,5132.361242958373,104635
Oryol Region ,2003,847.1,23309.0,387.70000000000005,111.96000000000001,8,42073.3,5950.063475549062,119397
Oryol Region ,2004,835.2,26806.0,150.5,111.58,6.2,46042.3,7811.6700437399595,124752
Oryol Region ,2005,822.1,42988.0,181.8,109.14000000000001,6.3,53181.9,9610.0,135776
Oryol Region ,2006,811.4,47751.6,179.89999999999998,108.79999999999998,5.9,64801.6,12714.676501656404,154206
Oryol Region ,2007,805.2,56537.0,301.4,112.25999999999999,5.5,77101.2,24118.882935346155,187520.0
Oryol Region ,2008,798.9,57090.0,474.1,112.44,6.0,96669.9,27242.0,218125.0
Oryol Region ,2009,793.1,48764.2,283.0,107.28,9.8,90623.6,19791.0,237728.0
Oryol Region ,2010,785.6,63745.9,375.1,111.4,8.9,106196.7,21451.0,258382.0
Oryol Region ,2011,781.3,80298.0,116.39999999999999,104.47999999999999,6.3,131198.2,34072.0,298079.0
Oryol Region ,2012,775.8,84766.0,260.9,106.56,5.3,146103.2,40429.0,319948.0
Oryol Region ,2013,770.0,82125.0,232.9,104.52000000000001,5.8,164797.0,43741.0,349432.0
Oryol Region ,2014,765.2,92541,188.6,110.66,5.1,178822.5,47580,394020
Oryol Region ,2015,759.7,117193,161.8,114.24000000000001,6.2,208237.9,47981,427523
Oryol Region ,2016,754.8,119452.0,176.9,105.58,6.4,228583.1,43595.612,472195
Oryol Region ,2017,747.2,120908.0,222.0741888,101.46000000000001,6.5,231118.4,43669.64,496312
Oryol Region ,2018,739.5,133709.0,243.89999999999998,107.06,4.9,247105.5,48058.416,522013
Oryol Region ,2019,733.5,136833.0,246.9,100.58000000000001,5.3,266655.6,55901.936,1112729
Oryol Region ,2020,724.7,165276.0,289.6,110.78,6.1,284470.0,55049.0,1093472
Oryol Region ,2021,714.1,202746.0,418.8,113.3,4.7,281178.424285714,60612.018,1164682
Ryazan Oblast ,2000,1258.8,22781.0,788.0,125.35999999999999,9.5,27956.5,6162.0,122622
Ryazan Oblast ,2001,1241.0,30406.0,765.8,129.76,10.9,37054.3,9873.159000000001,148106
Ryazan Oblast ,2002,1223.7,55274.0,517.4,110.80000000000001,8.1,45797.5,7085.669823072076,187267
Ryazan Oblast ,2003,1210.3,59341.0,667.1,113.16000000000001,8.4,59607.2,9514.95900855509,241753
Ryazan Oblast ,2004,1199.4,57257.0,270.90000000000003,121.42,5.8,69996,18325.951,245709
Ryazan Oblast ,2005,1188.8,70653.0,172.2,112.44,5.2,84382.7,23629.0,289479
Ryazan Oblast ,2006,1181.5,85006.0,199.5,108.83999999999999,4.9,105491.9,25944.880507999445,346379
Ryazan Oblast ,2007,1174.3,105696.0,279.3,114.57999999999998,3.7,121305.2,33630.024718305605,402878.0
Ryazan Oblast ,2008,1167.9,129974.0,278.8,110.78,5.4,150151.2,53231.0,477383.0
Ryazan Oblast ,2009,1161.8,122731.0,189.9,109.79999999999998,9.0,153634.1,38036.0,525645.0
Ryazan Oblast ,2010,1151.8,160405.0,255.1,112.30000000000001,8.4,179127.9,40622.0,577233.0
Ryazan Oblast ,2011,1148.5,183398.0,319.29999999999995,106.63999999999999,7.2,214142.6,53163.0,673713.0
Ryazan Oblast ,2012,1144.7,208933.0,357.6,119.24000000000001,4.6,253881.6,66705.0,609793.0
Ryazan Oblast ,2013,1140.8,230024.0,416.3,105.94,4.7,279286.5,75531.0,671471.0
Ryazan Oblast ,2014,1135.4,237740,375.4,108.88,4.4,295611.7,60558,748637
Ryazan Oblast ,2015,1130.1,285700,358.20000000000005,112.36,4.7,323131.8,54190,807575
Ryazan Oblast ,2016,1126.7,291874.0,399.6,108.14,4.4,366211.3,50892.658,927211
Ryazan Oblast ,2017,1121.5,322188.0,996.650559,103.84,4.1,395276.9,62286.241,1010570
Ryazan Oblast ,2018,1114.1,349541.0,486.70000000000005,107.08,4.2,416183.2,62741.419,1118681
Ryazan Oblast ,2019,1108.8,374189.0,1311.1999999999998,99.84,3.9,436417.7,69044.153,2268460
Ryazan Oblast ,2020,1098.3,408436.0,502.9,103.0,5.4,455596.1,62505.332,2286316
Ryazan Oblast ,2021,1085.2,501668.0,1561.0,113.7,4.0,465109.754285714,73886.424,2411346
Smolensk region ,2000,1082.2,27037.0,412.3,121.72,12.3,28140.6,6701.0,138150
Smolensk region ,2001,1063.3,32639.0,419.8,118.28,9.9,36016.3,9071.680999999999,157110
Smolensk region ,2002,1045.9,40363.0,401.2,119.22,11.1,42166.1,9720.873278196414,193051
Smolensk region ,2003,1039.1,48467.0,467.5,113.68,10.8,49085.7,11426.920548695487,215980
Smolensk region ,2004,1032.3,56818.0,546.8,113.34,9.1,56113.9,11315.47196571227,245734
Smolensk region ,2005,1025.4,75410.0,677.3000000000001,106.02,7.7,65525.6,14371.0,276228
Smolensk region ,2006,1017.9,86410.0,651.0,110.69999999999999,8.1,79043.4,16029.035841576502,309351
Smolensk region ,2007,1009.0,104043.0,745.5,115.48,6.7,95703.4,25178.099582990086,373569.0
Smolensk region ,2008,1000.7,123900.0,687.5,115.84,7.0,121601.3,37562.0,418597.0
Smolensk region ,2009,993.0,125412.0,431.7,109.52,7.8,125348.9,34633.0,440985.0
Smolensk region ,2010,982.9,159933.0,631.9,111.91999999999999,7.4,154681.1,48833.0,477280.0
Smolensk region ,2011,980.5,169038.0,1085.4,105.14,7.6,180811.5,56872.0,543205.0
Smolensk region ,2012,975.2,177581.0,1311.8,105.9,5.7,201817.0,56435.0,598129.0
Smolensk region ,2013,967.9,192035.0,1340.6,105.12,5.2,225887.1,55931.0,635456.0
