,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
10,Goiás,256603.0,202200.0,237795.0,246255.0,248605.0,353053.0,248656.0,387007.0,475659.0,381669.0,325884.0,544758.0,593747.0,648692.0,1097999.0,1409280.0,1810243.0,2089256.0,3180629.0,4081685.0,3609123.0,4041219.0,5591865.0,7306060.0,7037444.0,6973669.0,5869332.0,5929071.0,6902854.0,7524396.0,7133398.0,8133812.0,9306159.0,14147958.0,1329483.0
11,Mato Grosso,185424.0,253996.0,223601.0,346594.0,329546.0,466034.0,426251.0,659307.0,927090.0,652661.0,592390.0,1032966.0,1395403.0,1794971.0,2185578.0,3096162.0,4137245.0,4329451.0,5142043.0,7807696.0,8419358.0,8458937.0,11091096.0,13849901.0,15811712.0,14768343.0,13052545.0,12588232.0,14727052.0,16433453.0,17206103.0,18231912.0,21651401.0,32507578.0,3930892.0
12,Mato Grosso do Sul,254035.0,104452.0,108451.0,171710.0,207839.0,289839.0,304819.0,305859.0,383700.0,175389.0,218322.0,253070.0,472875.0,384056.0,497891.0,643332.0,1145111.0,1003979.0,1296209.0,2091476.0,1889608.0,2888972.0,3839517.0,4173132.0,5224873.0,5214590.0,4731607.0,4071059.0,4785077.0,5759226.0,5243446.0,5822414.0,6894838.0,8212503.0,1015192.0
13,Distrito Federal,6797.0,2879.0,4348.0,11093.0,5607.0,10309.0,6791.0,30874.0,8034.0,4889.0,9013.0,1611.0,6680.0,27155.0,14770.0,28870.0,59623.0,65661.0,81094.0,165135.0,128925.0,152233.0,183326.0,228439.0,261024.0,330099.0,287518.0,164551.0,251297.0,259507.0,160701.0,174176.0,268628.0,365685.0,60104.0
14,Paraná,1983341.0,1868169.0,1807232.0,2110039.0,2481143.0,3506749.0,3567345.0,4245907.0,4849630.0,4217016.0,3930563.0,4379504.0,5312332.0,5687364.0,7132003.0,9382205.0,10007041.0,9978622.0,12319417.0,15165023.0,11125059.0,14035994.0,17289542.0,17623327.0,18097708.0,16240911.0,14832909.0,15014900.0,17933167.0,18100069.0,16403307.0,16255782.0,19034417.0,22132924.0,3024900.0
15,Rio Grande do Sul,3708998.0,3441972.0,3294218.0,4339291.0,5178346.0,5027114.0,5181654.0,5663641.0,6271098.0,5628517.0,4998720.0,5770544.0,6341333.0,6372046.0,8009360.0,9875302.0,10445922.0,11709556.0,14890391.0,17444450.0,15200528.0,15303557.0,19361408.0,17328522.0,20263646.0,18647959.0,17118410.0,16191168.0,17782261.0,18205377.0,17256958.0,14059629.0,21133421.0,22564741.0,3204467.0
16,Santa Catarina,1433674.0,1457349.0,1509764.0,1789864.0,2198137.0,2404688.0,2652023.0,2637306.0,2801707.0,2604374.0,2563283.0,2709716.0,3024905.0,3152815.0,3693332.0,4846758.0,5580839.0,5993907.0,7427554.0,8291124.0,6406497.0,7554268.0,8968803.0,8865549.0,8660271.0,8963444.0,7640213.0,7591470.0,8506602.0,9271832.0,8951857.0,8127705.0,10295984.0,11966468.0,1670426.0
17,Ceará,219594.0,230569.0,270418.0,303591.0,274825.0,334860.0,352130.0,380432.0,353078.0,355246.0,371206.0,494802.0,526165.0,542934.0,760635.0,858466.0,929663.0,955814.0,1145625.0,1274388.0,1077672.0,1267411.0,1400889.0,1263900.0,1419547.0,1469706.0,1044240.0,1294101.0,2102136.0,2342081.0,2275193.0,1853417.0,2739104.0,2340537.0,375288.0
18,Bahia,1523532.0,1453387.0,1300909.0,1491272.0,1450352.0,1720587.0,1919190.0,1846130.0,1867606.0,1829455.0,1581213.0,1942414.0,2118966.0,2405649.0,3255969.0,4056329.0,5983672.0,6766614.0,7405868.0,8688532.0,6969444.0,8857412.0,10936021.0,10816329.0,9656129.0,9240276.0,7799686.0,6729420.0,8030316.0,8875253.0,8162484.0,7838202.0,9944650.0,13922502.0,1473177.0
19,Acre,0.0,2660.0,2211.0,2056.0,4093.0,4148.0,5206.0,2445.0,208.0,834.0,1295.0,1546.0,5817.0,3818.0,5337.0,7663.0,11340.0,17795.0,17744.0,21951.0,15693.0,20735.0,16978.0,9414.0,11373.0,7217.0,15982.0,12632.0,21657.0,39801.0,32854.0,33955.0,48839.0,54366.0,3962.0
20,Amapá,0.0,55027.0,53315.0,9375.0,55891.0,73817.0,65792.0,101515.0,64115.0,62352.0,45029.0,35999.0,30453.0,16367.0,19562.0,46874.0,76512.0,127979.0,127961.0,192439.0,182675.0,350544.0,602730.0,447212.0,416146.0,425345.0,250152.0,264086.0,282027.0,284963.0,261368.0,312167.0,306997.0,209148.0,34312.0
21,Amazonas,0.0,178601.0,106918.0,147997.0,144868.0,133952.0,138352.0,143954.0,193489.0,266133.0,429449.0,768043.0,847110.0,1063304.0,1299257.0,1155167.0,2143713.0,1516730.0,1098008.0,1258109.0,871654.0,1103869.0,890726.0,958379.0,1027726.0,924044.0,770711.0,574983.0,672997.0,678906.0,731094.0,786719.0,867948.0,903838.0,133148.0
22,Pará,1406413.0,1548037.0,1574859.0,1645754.0,1781047.0,1820771.0,2181438.0,2117178.0,2264084.0,2209012.0,2135946.0,2439751.0,2287164.0,2266096.0,2675262.0,3800047.0,4756260.0,6705801.0,7906753.0,10669910.0,8344152.0,12833144.0,18335357.0,14775567.0,15851486.0,14256010.0,10271129.0,10511069.0,14484259.0,15568660.0,17841241.0,20611772.0,29525879.0,21515320.0,2771839.0
23,Rondônia,0.0,9453.0,19542.0,16800.0,30212.0,36527.0,37762.0,27753.0,37363.0,37629.0,55650.0,59255.0,56444.0,73065.0,97589.0,133129.0,202604.0,307424.0,455503.0,579612.0,390938.0,424785.0,481802.0,790528.0,1039358.0,1067182.0,977630.0,876908.0,1082695.0,1249233.0,1303910.0,1371865.0,1687186.0,2344179.0,259476.0
24,Roraima,0.0,183.0,269.0,3465.0,6554.0,5635.0,4355.0,7117.0,2582.0,2483.0,1712.0,2586.0,4377.0,6021.0,3826.0,5273.0,8483.0,15356.0,16271.0,15605.0,12583.0,11306.0,15097.0,14942.0,7989.0,19208.0,11627.0,14953.0,41409.0,15935.0,157709.0,196838.0,336624.0,425913.0,47738.0
25,Tocantins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.0,9799.0,13419.0,8022.0,8310.0,3918.0,16210.0,45580.0,116336.0,152424.0,203460.0,154970.0,297683.0,280106.0,343923.0,486074.0,640252.0,702120.0,859341.0,901268.0,632846.0,951262.0,1204396.0,1110498.0,1368259.0,1845939.0,3087622.0,178645.0
26,Piauí,36003.0,32402.0,40042.0,39483.0,64451.0,53669.0,67096.0,62427.0,61941.0,58808.0,49138.0,63346.0,39928.0,48063.0,58298.0,73265.0,58604.0,47128.0,56643.0,136899.0,167426.0,129175.0,164230.0,225715.0,161782.0,255971.0,402206.0,175003.0,396980.0,706112.0,542832.0,583956.0,857699.0,1654072.0,119724.0
27,Maranhão,459591.0,442620.0,476706.0,427458.0,462628.0,575720.0,671361.0,681460.0,744598.0,635919.0,662963.0,752399.0,544292.0,652368.0,739538.0,1209927.0,1504164.0,1719194.0,2170592.0,2855163.0,1249891.0,2942084.0,3096158.0,3106665.0,2381564.0,2851412.0,3074535.0,2219005.0,3036968.0,3832117.0,3543623.0,3371174.0,4374131.0,5737973.0,587068.0
